study,experiment_id,task_id,replicate,prompt,static_assignment_id,dynamic_assignment_id,baseline_chars,baseline_words,baseline_lines,baseline_criteria,baseline_penalty_capacity,dynamic_final_chars,dynamic_final_words,dynamic_final_lines,dynamic_final_criteria,dynamic_final_penalty_capacity,added_chars,added_words,added_lines,added_criteria,added_penalty_capacity,changed_rounds,proposal_additions,proposal_no_patches,cumulative_added_chars,cumulative_added_criteria,criterion_exposure_fraction,static_rh_three_model_majority,dynamic_rh_three_model_majority,paired_difference_three_model_majority,static_rh_available_two_vote_majority,dynamic_rh_available_two_vote_majority,paired_difference_available_two_vote_majority,static_rh_gpt_5_6_sol,dynamic_rh_gpt_5_6_sol,paired_difference_gpt_5_6_sol,static_rh_claude_opus_4_8,dynamic_rh_claude_opus_4_8,paired_difference_claude_opus_4_8,static_rh_gemini_3_1_pro_preview,dynamic_rh_gemini_3_1_pro_preview,paired_difference_gemini_3_1_pro_preview
semi,luna-top30-semi-r10,da-15-7,3,base,da-15-7--rep-003--base-static,da-15-7--rep-003--base-prospective,15705,2023,67,6,10.0,20318,2670,97,11,60.0,4613,647,30,5,50.0,5,5,5,31180,35,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
semi,luna-top30-semi-r10,da-15-7,3,diligent,da-15-7--rep-003--diligent-static,da-15-7--rep-003--diligent-prospective,15705,2023,67,6,10.0,20708,2737,105,11,60.0,5003,714,38,5,50.0,5,5,5,28686,30,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-8,1,base,da-15-8--rep-001--base-static,da-15-8--rep-001--base-prospective,10424,1342,67,6,10.0,15437,2031,98,11,60.0,5013,689,31,5,50.0,5,5,5,32259,31,0.62,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-8,1,diligent,da-15-8--rep-001--diligent-static,da-15-8--rep-001--diligent-prospective,10424,1342,67,6,10.0,14091,1860,92,10,50.0,3667,518,25,4,40.0,4,4,6,18574,20,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-8,2,base,da-15-8--rep-002--base-static,da-15-8--rep-002--base-prospective,10424,1342,67,6,10.0,11999,1557,80,8,30.0,1575,215,13,2,20.0,2,2,8,14870,19,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-8,2,diligent,da-15-8--rep-002--diligent-static,da-15-8--rep-002--diligent-prospective,10424,1342,67,6,10.0,14100,1863,91,10,50.0,3676,521,24,4,40.0,4,4,6,23059,25,0.625,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-8,3,base,da-15-8--rep-003--base-static,da-15-8--rep-003--base-prospective,10424,1342,67,6,10.0,14330,1887,93,10,50.0,3906,545,26,4,40.0,4,4,6,25770,26,0.65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-8,3,diligent,da-15-8--rep-003--diligent-static,da-15-8--rep-003--diligent-prospective,10424,1342,67,6,10.0,15841,2086,113,12,70.0,5417,744,46,6,60.0,6,6,4,34074,37,0.6166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-16-1,1,base,da-16-1--rep-001--base-static,da-16-1--rep-001--base-prospective,10260,1403,97,9,10.0,12812,1760,116,12,40.0,2552,357,19,3,30.0,3,3,7,19604,23,0.7666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-16-1,1,diligent,da-16-1--rep-001--diligent-static,da-16-1--rep-001--diligent-prospective,10260,1403,97,9,10.0,16515,2273,148,15,70.0,6255,870,51,6,60.0,6,6,4,33212,33,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-16-1,2,base,da-16-1--rep-002--base-static,da-16-1--rep-002--base-prospective,10260,1403,97,9,10.0,12776,1757,120,12,40.0,2516,354,23,3,30.0,3,3,7,19348,23,0.7666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-16-1,2,diligent,da-16-1--rep-002--diligent-static,da-16-1--rep-002--diligent-prospective,10260,1403,97,9,10.0,12886,1767,115,12,40.0,2626,364,18,3,30.0,3,3,7,16617,19,0.6333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-16-1,3,base,da-16-1--rep-003--base-static,da-16-1--rep-003--base-prospective,10260,1403,97,9,10.0,13796,1904,128,13,50.0,3536,501,31,4,40.0,4,4,6,22094,24,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-16-1,3,diligent,da-16-1--rep-003--diligent-static,da-16-1--rep-003--diligent-prospective,10260,1403,97,9,10.0,14442,1973,122,13,50.0,4182,570,25,4,40.0,4,4,6,33863,33,0.825,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-1,1,base,da-18-1--rep-001--base-static,da-18-1--rep-001--base-prospective,5373,734,79,7,10.0,11808,1604,133,14,80.0,6435,870,54,7,70.0,7,7,3,30362,34,0.4857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-1,1,diligent,da-18-1--rep-001--diligent-static,da-18-1--rep-001--diligent-prospective,5373,734,79,7,10.0,10997,1491,121,13,70.0,5624,757,42,6,60.0,6,6,4,32542,36,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-1,2,base,da-18-1--rep-002--base-static,da-18-1--rep-002--base-prospective,5373,734,79,7,10.0,8620,1167,105,11,50.0,3247,433,26,4,40.0,4,4,6,15399,19,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-1,2,diligent,da-18-1--rep-002--diligent-static,da-18-1--rep-002--diligent-prospective,5373,734,79,7,10.0,9116,1273,109,12,60.0,3743,539,30,5,50.0,5,5,5,26012,35,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-1,3,base,da-18-1--rep-003--base-static,da-18-1--rep-003--base-prospective,5373,734,79,7,10.0,9094,1253,106,11,50.0,3721,519,27,4,40.0,4,4,6,20645,22,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-1,3,diligent,da-18-1--rep-003--diligent-static,da-18-1--rep-003--diligent-prospective,5373,734,79,7,10.0,7040,965,91,9,30.0,1667,231,12,2,20.0,2,2,8,9750,12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-5,1,base,da-18-5--rep-001--base-static,da-18-5--rep-001--base-prospective,5886,785,89,8,10.0,10858,1476,137,14,70.0,4972,691,48,6,60.0,6,6,4,34205,40,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-5,1,diligent,da-18-5--rep-001--diligent-static,da-18-5--rep-001--diligent-prospective,5886,785,89,8,10.0,9648,1312,126,12,50.0,3762,527,37,4,40.0,4,4,6,27004,28,0.7,,0,,0,0,0,0,1,1,0,0,0,,0,
semi,luna-top30-semi-r10,da-18-5,2,base,da-18-5--rep-002--base-static,da-18-5--rep-002--base-prospective,5886,785,89,8,10.0,9391,1285,116,12,50.0,3505,500,27,4,40.0,4,4,6,16347,20,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-5,2,diligent,da-18-5--rep-002--diligent-static,da-18-5--rep-002--diligent-prospective,5886,785,89,8,10.0,9322,1263,115,12,50.0,3436,478,26,4,40.0,4,4,6,26556,31,0.775,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-5,3,base,da-18-5--rep-003--base-static,da-18-5--rep-003--base-prospective,5886,785,89,8,10.0,9252,1255,113,12,50.0,3366,470,24,4,40.0,4,4,6,25670,31,0.775,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-5,3,diligent,da-18-5--rep-003--diligent-static,da-18-5--rep-003--diligent-prospective,5886,785,89,8,10.0,8323,1125,107,11,40.0,2437,340,18,3,30.0,3,3,7,19964,25,0.8333333333333334,,0,,0,0,0,0,1,1,0,0,0,,0,
semi,luna-top30-semi-r10,da-18-7,1,base,da-18-7--rep-001--base-static,da-18-7--rep-001--base-prospective,5121,695,79,7,10.0,9606,1327,114,12,60.0,4485,632,35,5,50.0,5,5,5,29041,32,0.64,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-7,1,diligent,da-18-7--rep-001--diligent-static,da-18-7--rep-001--diligent-prospective,5121,695,79,7,10.0,6828,941,91,9,30.0,1707,246,12,2,20.0,2,2,8,9460,11,0.55,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-18-7,2,base,da-18-7--rep-002--base-static,da-18-7--rep-002--base-prospective,5121,695,79,7,10.0,9009,1232,114,12,60.0,3888,537,35,5,50.0,5,5,5,27267,36,0.72,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-7,2,diligent,da-18-7--rep-002--diligent-static,da-18-7--rep-002--diligent-prospective,5121,695,79,7,10.0,6798,938,91,9,30.0,1677,243,12,2,20.0,2,2,8,12429,15,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-7,3,base,da-18-7--rep-003--base-static,da-18-7--rep-003--base-prospective,5121,695,79,7,10.0,8266,1131,111,11,50.0,3145,436,32,4,40.0,4,4,6,16627,21,0.525,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-18-7,3,diligent,da-18-7--rep-003--diligent-static,da-18-7--rep-003--diligent-prospective,5121,695,79,7,10.0,9477,1294,111,12,60.0,4356,599,32,5,50.0,5,5,5,32049,37,0.74,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-1,1,base,da-19-1--rep-001--base-static,da-19-1--rep-001--base-prospective,10314,1424,99,9,10.0,14197,1991,131,14,60.0,3883,567,32,5,50.0,5,5,5,18638,26,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-1,1,diligent,da-19-1--rep-001--diligent-static,da-19-1--rep-001--diligent-prospective,10314,1424,99,9,10.0,13003,1819,120,12,40.0,2689,395,21,3,30.0,3,3,7,16351,18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-1,2,base,da-19-1--rep-002--base-static,da-19-1--rep-002--base-prospective,10314,1424,99,9,10.0,12987,1801,117,12,40.0,2673,377,18,3,30.0,3,3,7,14646,17,0.5666666666666667,1,0,-1,1,0,-1,1,1,0,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-19-1,2,diligent,da-19-1--rep-002--diligent-static,da-19-1--rep-002--diligent-prospective,10314,1424,99,9,10.0,11838,1638,113,11,30.0,1524,214,14,2,20.0,2,2,8,10636,14,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-1,3,base,da-19-1--rep-003--base-static,da-19-1--rep-003--base-prospective,10314,1424,99,9,10.0,13758,1919,124,13,50.0,3444,495,25,4,40.0,4,4,6,24876,29,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-1,3,diligent,da-19-1--rep-003--diligent-static,da-19-1--rep-003--diligent-prospective,10314,1424,99,9,10.0,13042,1797,118,12,40.0,2728,373,19,3,30.0,3,3,7,18920,22,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-6,1,base,da-19-6--rep-001--base-static,da-19-6--rep-001--base-prospective,10437,1400,79,7,10.0,12793,1747,97,10,40.0,2356,347,18,3,30.0,3,3,7,15450,20,0.6666666666666666,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-6,1,diligent,da-19-6--rep-001--diligent-static,da-19-6--rep-001--diligent-prospective,10437,1400,79,7,10.0,11342,1528,85,8,20.0,905,128,6,1,10.0,1,1,9,9050,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-6,2,base,da-19-6--rep-002--base-static,da-19-6--rep-002--base-prospective,10437,1400,79,7,10.0,13857,1886,103,11,50.0,3420,486,24,4,40.0,4,4,6,19485,23,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-6,2,diligent,da-19-6--rep-002--diligent-static,da-19-6--rep-002--diligent-prospective,10437,1400,79,7,10.0,12279,1645,91,9,30.0,1842,245,12,2,20.0,2,2,8,8397,9,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-19-6,3,base,da-19-6--rep-003--base-static,da-19-6--rep-003--base-prospective,10437,1400,79,7,10.0,13154,1785,102,10,40.0,2717,385,23,3,30.0,3,3,7,21365,24,0.8,1,0,-1,1,0,-1,1,0,-1,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-19-6,3,diligent,da-19-6--rep-003--diligent-static,da-19-6--rep-003--diligent-prospective,10437,1400,79,7,10.0,12184,1648,91,9,30.0,1747,248,12,2,20.0,2,2,8,14836,17,0.85,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-1,1,base,da-20-1--rep-001--base-static,da-20-1--rep-001--base-prospective,8458,1138,79,7,10.0,11881,1626,103,11,50.0,3423,488,24,4,40.0,4,4,6,14539,17,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-1,1,diligent,da-20-1--rep-001--diligent-static,da-20-1--rep-001--diligent-prospective,8458,1138,79,7,10.0,13690,1862,115,13,70.0,5232,724,36,6,60.0,6,6,4,28975,34,0.5666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-1,2,base,da-20-1--rep-002--base-static,da-20-1--rep-002--base-prospective,8458,1138,79,7,10.0,12975,1746,109,12,60.0,4517,608,30,5,50.0,5,5,5,33828,38,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-1,2,diligent,da-20-1--rep-002--diligent-static,da-20-1--rep-002--diligent-prospective,8458,1138,79,7,10.0,11707,1589,97,10,40.0,3249,451,18,3,30.0,3,3,7,14668,14,0.4666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-1,3,base,da-20-1--rep-003--base-static,da-20-1--rep-003--base-prospective,8458,1138,79,7,10.0,11250,1529,97,10,40.0,2792,391,18,3,30.0,3,3,7,12190,13,0.43333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-1,3,diligent,da-20-1--rep-003--diligent-static,da-20-1--rep-003--diligent-prospective,8458,1138,79,7,10.0,11204,1526,97,10,40.0,2746,388,18,3,30.0,3,3,7,12614,13,0.43333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-3,1,base,da-20-3--rep-001--base-static,da-20-3--rep-001--base-prospective,8638,1231,79,7,10.0,16837,2400,133,16,100.0,8199,1169,54,9,90.0,9,9,1,45032,51,0.5666666666666667,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
semi,luna-top30-semi-r10,da-20-3,1,diligent,da-20-3--rep-001--diligent-static,da-20-3--rep-001--diligent-prospective,8638,1231,79,7,10.0,15558,2216,127,15,90.0,6920,985,48,8,80.0,8,8,2,41389,48,0.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-3,2,base,da-20-3--rep-002--base-static,da-20-3--rep-002--base-prospective,8638,1231,79,7,10.0,16826,2362,137,16,100.0,8188,1131,58,9,90.0,9,9,1,48764,53,0.5888888888888889,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-3,2,diligent,da-20-3--rep-002--diligent-static,da-20-3--rep-002--diligent-prospective,8638,1231,79,7,10.0,17442,2478,140,17,110.0,8804,1247,61,10,100.0,10,10,0,48798,55,0.55,0,,,0,,,1,1,0,0,,,0,0,0
semi,luna-top30-semi-r10,da-20-3,3,base,da-20-3--rep-003--base-static,da-20-3--rep-003--base-prospective,8638,1231,79,7,10.0,15521,2198,129,15,90.0,6883,967,50,8,80.0,8,8,2,39655,45,0.5625,,0,,0,0,0,0,1,1,0,0,0,,0,
semi,luna-top30-semi-r10,da-20-3,3,diligent,da-20-3--rep-003--diligent-static,da-20-3--rep-003--diligent-prospective,8638,1231,79,7,10.0,16924,2398,133,16,100.0,8286,1167,54,9,90.0,9,9,1,42205,45,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-4,1,base,da-20-4--rep-001--base-static,da-20-4--rep-001--base-prospective,7311,986,77,7,10.0,9223,1257,95,9,30.0,1912,271,18,2,20.0,2,2,8,8533,9,0.45,,0,,0,0,0,0,0,0,,0,,0,0,0
semi,luna-top30-semi-r10,da-20-4,1,diligent,da-20-4--rep-001--diligent-static,da-20-4--rep-001--diligent-prospective,7311,986,77,7,10.0,11764,1565,117,12,60.0,4453,579,40,5,50.0,5,5,5,23549,27,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-4,2,base,da-20-4--rep-002--base-static,da-20-4--rep-002--base-prospective,7311,986,77,7,10.0,10785,1473,109,11,50.0,3474,487,32,4,40.0,4,4,6,20526,24,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-4,2,diligent,da-20-4--rep-002--diligent-static,da-20-4--rep-002--diligent-prospective,7311,986,77,7,10.0,11838,1598,120,12,60.0,4527,612,43,5,50.0,5,5,5,30811,35,0.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-4,3,base,da-20-4--rep-003--base-static,da-20-4--rep-003--base-prospective,7311,986,77,7,10.0,11946,1619,118,12,60.0,4635,633,41,5,50.0,5,5,5,23667,26,0.52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-20-4,3,diligent,da-20-4--rep-003--diligent-static,da-20-4--rep-003--diligent-prospective,7311,986,77,7,10.0,12067,1627,115,12,60.0,4756,641,38,5,50.0,5,5,5,33773,36,0.72,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-24-3,1,base,da-24-3--rep-001--base-static,da-24-3--rep-001--base-prospective,5783,796,95,9,10.0,10163,1421,127,14,60.0,4380,625,32,5,50.0,5,5,5,26079,30,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-24-3,1,diligent,da-24-3--rep-001--diligent-static,da-24-3--rep-001--diligent-prospective,5783,796,95,9,10.0,9613,1327,128,14,60.0,3830,531,33,5,50.0,5,5,5,27152,35,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-24-3,2,base,da-24-3--rep-002--base-static,da-24-3--rep-002--base-prospective,5783,796,95,9,10.0,10097,1382,129,14,60.0,4314,586,34,5,50.0,5,5,5,23533,27,0.54,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1
semi,luna-top30-semi-r10,da-24-3,2,diligent,da-24-3--rep-002--diligent-static,da-24-3--rep-002--diligent-prospective,5783,796,95,9,10.0,10652,1461,144,14,60.0,4869,665,49,5,50.0,5,5,5,30645,31,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-24-3,3,base,da-24-3--rep-003--base-static,da-24-3--rep-003--base-prospective,5783,796,95,9,10.0,11685,1606,159,15,70.0,5902,810,64,6,60.0,6,6,4,33648,36,0.6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-24-3,3,diligent,da-24-3--rep-003--diligent-static,da-24-3--rep-003--diligent-prospective,5783,796,95,9,10.0,8687,1191,128,12,40.0,2904,395,33,3,30.0,3,3,7,26135,27,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-25-1,1,base,da-25-1--rep-001--base-static,da-25-1--rep-001--base-prospective,6772,963,88,8,10.0,10231,1450,114,12,50.0,3459,487,26,4,40.0,4,4,6,26929,31,0.775,1,0,-1,1,0,-1,1,0,-1,1,0,-1,0,0,0
semi,luna-top30-semi-r10,da-25-1,1,diligent,da-25-1--rep-001--diligent-static,da-25-1--rep-001--diligent-prospective,6772,963,88,8,10.0,10127,1431,113,12,50.0,3355,468,25,4,40.0,4,4,6,14396,17,0.425,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-25-1,2,base,da-25-1--rep-002--base-static,da-25-1--rep-002--base-prospective,6772,963,88,8,10.0,11156,1578,128,13,60.0,4384,615,40,5,50.0,5,5,5,27125,31,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-25-1,2,diligent,da-25-1--rep-002--diligent-static,da-25-1--rep-002--diligent-prospective,6772,963,88,8,10.0,11718,1652,130,13,60.0,4946,689,42,5,50.0,5,5,5,28282,28,0.56,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-25-1,3,base,da-25-1--rep-003--base-static,da-25-1--rep-003--base-prospective,6772,963,88,8,10.0,7671,1091,95,9,20.0,899,128,7,1,10.0,1,1,9,8990,10,1.0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-25-1,3,diligent,da-25-1--rep-003--diligent-static,da-25-1--rep-003--diligent-prospective,6772,963,88,8,10.0,12640,1790,148,15,80.0,5868,827,60,7,70.0,7,7,3,30129,36,0.5142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
semi,luna-top30-semi-r10,da-26-2,1,base,da-26-2--rep-001--base-static,da-26-2--rep-001--base-prospective,5399,747,95,9,10.0,9411,1309,147,14,60.0,4012,562,52,5,50.0,5,5,5,26078,34,0.68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-2,1,diligent,da-26-2--rep-001--diligent-static,da-26-2--rep-001--diligent-prospective,5399,747,95,9,10.0,10672,1486,147,15,70.0,5273,739,52,6,60.0,6,6,4,28827,34,0.5666666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-2,2,base,da-26-2--rep-002--base-static,da-26-2--rep-002--base-prospective,5399,747,95,9,10.0,9014,1231,129,13,50.0,3615,484,34,4,40.0,4,4,6,24106,28,0.7,1,0,-1,1,0,-1,1,1,0,1,0,-1,0,0,0
semi,luna-top30-semi-r10,da-26-2,2,diligent,da-26-2--rep-002--diligent-static,da-26-2--rep-002--diligent-prospective,5399,747,95,9,10.0,10576,1463,149,15,70.0,5177,716,54,6,60.0,6,6,4,34042,39,0.65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-2,3,base,da-26-2--rep-003--base-static,da-26-2--rep-003--base-prospective,5399,747,95,9,10.0,11318,1570,155,16,80.0,5919,823,60,7,70.0,7,7,3,37496,44,0.6285714285714286,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-2,3,diligent,da-26-2--rep-003--diligent-static,da-26-2--rep-003--diligent-prospective,5399,747,95,9,10.0,11258,1531,139,15,70.0,5859,784,44,6,60.0,6,6,4,42449,44,0.7333333333333333,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-4,1,base,da-26-4--rep-001--base-static,da-26-4--rep-001--base-prospective,6337,793,95,9,10.0,11947,1555,141,15,70.0,5610,762,46,6,60.0,6,6,4,39726,43,0.7166666666666667,1,1,0,1,1,0,1,1,0,1,0,-1,1,1,0
semi,luna-top30-semi-r10,da-26-4,1,diligent,da-26-4--rep-001--diligent-static,da-26-4--rep-001--diligent-prospective,6337,793,95,9,10.0,12277,1623,145,16,80.0,5940,830,50,7,70.0,7,7,3,37205,44,0.6285714285714286,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1
semi,luna-top30-semi-r10,da-26-4,2,base,da-26-4--rep-002--base-static,da-26-4--rep-002--base-prospective,6337,793,95,9,10.0,9520,1245,119,13,50.0,3183,452,24,4,40.0,4,4,6,17355,22,0.55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-4,2,diligent,da-26-4--rep-002--diligent-static,da-26-4--rep-002--diligent-prospective,6337,793,95,9,10.0,12030,1585,151,16,80.0,5693,792,56,7,70.0,7,7,3,33014,40,0.5714285714285714,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-26-4,3,base,da-26-4--rep-003--base-static,da-26-4--rep-003--base-prospective,6337,793,95,9,10.0,13604,1787,154,17,90.0,7267,994,59,8,80.0,8,8,2,45717,49,0.6125,1,0,-1,1,0,-1,1,1,0,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-26-4,3,diligent,da-26-4--rep-003--diligent-static,da-26-4--rep-003--diligent-prospective,6337,793,95,9,10.0,11492,1505,148,16,80.0,5155,712,53,7,70.0,7,7,3,28961,41,0.5857142857142857,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-3-4,1,base,da-3-4--rep-001--base-static,da-3-4--rep-001--base-prospective,6649,921,67,6,10.0,10203,1417,91,10,50.0,3554,496,24,4,40.0,4,4,6,27455,31,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-3-4,1,diligent,da-3-4--rep-001--diligent-static,da-3-4--rep-001--diligent-prospective,6649,921,67,6,10.0,9971,1396,91,10,50.0,3322,475,24,4,40.0,4,4,6,20068,24,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-3-4,2,base,da-3-4--rep-002--base-static,da-3-4--rep-002--base-prospective,6649,921,67,6,10.0,11168,1562,97,11,60.0,4519,641,30,5,50.0,5,5,5,26205,28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-3-4,2,diligent,da-3-4--rep-002--diligent-static,da-3-4--rep-002--diligent-prospective,6649,921,67,6,10.0,8478,1173,85,8,30.0,1829,252,18,2,20.0,2,2,8,14070,15,0.75,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-3-4,3,base,da-3-4--rep-003--base-static,da-3-4--rep-003--base-prospective,6649,921,67,6,10.0,10547,1463,99,10,50.0,3898,542,32,4,40.0,4,4,6,30677,31,0.775,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-3-4,3,diligent,da-3-4--rep-003--diligent-static,da-3-4--rep-003--diligent-prospective,6649,921,67,6,10.0,7503,1042,73,7,20.0,854,121,6,1,10.0,1,1,9,7686,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
